//     @ab          xx        xx           xx             xx
//  scan-code     ASCII    Shift+ab      Ctrl+ab     Ctrl+Shift+ab

@00 00 00 00 00
@01 00 00 00 00
@02 00 00 00 00
@03 00 00 00 00
@04 00 00 00 00
@05 00 00 00 00
@06 00 00 00 00
@07 00 00 00 00
@08 00 00 00 00
@09 00 00 00 00
@0a 00 00 00 00
@0b 00 00 00 00
@0c 00 00 00 00
@0d 09 00 00 00
@0e 60 00 7e 00
@0f 00 00 00 00

@10 00 00 00 00
@11 00 00 00 00
@12 00 00 00 00
@13 00 00 00 00
@14 00 00 00 00
@15 71 11 51 00
@16 31 00 21 00
@17 00 00 00 00
@18 00 00 00 00
@19 00 00 00 00
@1a 7a 1a 5a 00
@1b 73 13 53 00
@1c 61 01 41 00
@1d 77 17 57 00
@1e 32 00 40 00
@1f 00 00 00 00

@20 00 00 00 00
@21 63 03 43 00
@22 78 18 58 00
@23 64 04 44 00
@24 65 05 45 00
@25 34 00 24 00
@26 33 00 23 00
@27 00 00 00 00
@28 00 00 00 00
@29 20 00 00 00
@2a 76 16 56 00
@2b 66 06 46 00
@2c 74 14 54 00
@2d 72 12 52 00
@2e 35 00 25 00
@2f 00 00 00 00

@30 00 00 00 00
@31 6e 0e 4e 00
@32 62 02 42 00
@33 68 08 48 00
@34 67 07 47 00
@35 79 19 59 00
@36 36 00 5e 00
@37 00 00 00 00
@38 00 00 00 00
@39 00 00 00 00
@3a 6d 0d 4d 00
@3b 6a 0a 4a 00
@3c 75 15 55 00
@3d 37 00 26 00
@3e 38 00 2a 00
@3f 00 00 00 00

@40 00 00 00 00
@41 2c 00 3c 00
@42 6b 0b 4b 00
@43 69 09 49 00
@44 6f 0f 4f 00
@45 30 00 29 00
@46 39 00 28 00
@47 00 00 00 00
@48 00 00 00 00
@49 2e 00 3e 00
@4a 00 00 00 00
@4b 6c 0c 4c 00
@4c 3b 00 3a 00
@4d 70 10 50 00
@4e 2d 00 5f 00
@4f 00 00 00 00

@50 00 00 00 00
@51 00 00 00 00
@52 27 00 22 00
@53 00 00 00 00
@54 5b 00 7b 00
@55 3d 00 2b 00
@56 00 00 00 00
@57 00 00 00 00
@58 00 00 00 00
@59 00 00 00 00
@5a 0d 00 00 00
@5b 5d 00 7d 00
@5c 00 00 00 00
@5d 5c 00 7c 00
@5e 00 00 00 00
@5f 00 00 00 00

@60 00 00 00 00
@61 00 00 00 00
@62 00 00 00 00
@63 00 00 00 00
@64 00 00 00 00
@65 00 00 00 00
@66 08 00 00 00
@67 00 00 00 00
@68 00 00 00 00
@69 31 00 00 00
@6a 00 00 00 00
@6b 34 00 00 00
@6c 37 00 00 00
@6d 00 00 00 00
@6e 00 00 00 00
@6f 00 00 00 00

@70 30 00 00 00
@71 2e 00 00 00
@72 32 00 00 00
@73 35 00 00 00
@74 36 00 00 00
@75 38 00 00 00
@76 00 00 00 00
@77 00 00 00 00
@78 00 00 00 00
@79 2b 00 00 00
@7a 33 00 00 00
@7b 2c 00 00 00
@7c 2a 00 00 00
@7d 39 00 00 00
@7e 00 00 00 00
@7f 00 00 00 00
